about=0.56666666
above=0.3
able=0.1
going=0.2777778
go=0.24074075
good=0.16666667
the=0.626703
they=0.15395096
them=0.06811989
merry=0.94736844
merrily=0.02631579
merely=0.02631579
frodo=0.4909091
from=0.43636364
front=0.07272727
great=0.1969697
ground=0.18181819
grass=0.15151516
goldberry=0.6
golden=0.4
sam=1.0
